City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
225,Kerema,PG,-7.9631,145.7785,83.91,73,92,9.01,overcast clouds
226,Shingu,JP,33.7333,135.9833,58.19,50,1,4.65,clear sky
227,Taoudenni,ML,22.6783,-3.9836,52.36,21,96,11.07,overcast clouds
228,San Juan Del Sur,NI,11.2529,-85.8705,77.23,79,0,21.03,clear sky
229,Hualmay,PE,-11.0964,-77.6139,70.07,83,21,8.95,few clouds
230,Lompoc,US,34.6391,-120.4579,55.56,87,0,0.0,clear sky
231,Urubamba,PE,-13.3047,-72.1158,58.1,87,100,4.34,overcast clouds
232,Mugur-Aksy,RU,50.35,90.5,8.71,72,100,6.87,overcast clouds
233,Palembang,ID,-2.9167,104.7458,80.69,89,75,6.91,broken clouds
234,Valparaiso,CL,-33.0393,-71.6273,66.47,77,75,2.3,broken clouds
235,Raga,SS,8.4596,25.678,76.24,33,86,2.04,overcast clouds
236,Kovdor,RU,67.5662,30.4758,-0.29,99,95,3.51,overcast clouds
237,Jiangyou,CN,31.7667,104.7167,52.92,56,68,2.24,broken clouds
238,Zaysan,KZ,47.4667,84.8667,11.8,94,100,1.03,overcast clouds
239,Imeni Poliny Osipenko,RU,52.4201,136.4853,-8.97,92,99,2.75,overcast clouds
240,Najran,SA,17.4924,44.1277,48.85,34,2,0.67,clear sky
241,Aykhal,RU,66.0,111.5,1.8,94,100,16.73,overcast clouds
242,Castro,BR,-24.7911,-50.0119,56.34,97,77,2.95,broken clouds
243,Cairns,AU,-16.9167,145.7667,85.95,79,40,8.05,scattered clouds
244,Margate,GB,51.3813,1.3862,39.69,82,25,4.16,scattered clouds
245,Ryotsu,JP,38.0833,138.4333,42.76,59,33,4.68,scattered clouds
246,Xique-Xique,BR,-10.8218,-42.7263,74.35,83,95,2.39,overcast clouds
247,Ratnapura,LK,6.6828,80.3992,77.29,89,95,0.94,overcast clouds
248,Shimoda,JP,34.6667,138.95,52.16,66,82,12.77,broken clouds
249,Pingliang,CN,35.5392,106.6861,32.79,41,39,17.2,scattered clouds
250,Vostok,RU,46.4856,135.8833,4.08,84,34,3.33,scattered clouds
251,Issia,CI,6.4922,-6.5856,72.55,92,63,2.26,broken clouds
252,Fomboni,KM,-12.28,43.7425,84.13,69,100,8.48,overcast clouds
253,Tuatapere,NZ,-46.1333,167.6833,68.83,71,70,5.68,broken clouds
254,Praia Da Vitoria,PT,38.7333,-27.0667,60.76,88,75,16.73,broken clouds
255,Santa Fe,AR,-31.6333,-60.7,81.01,58,0,3.0,clear sky
256,Waipawa,NZ,-41.4122,175.5153,70.43,60,94,0.74,overcast clouds
257,Lubartow,PL,51.4603,22.6095,30.63,93,41,5.35,scattered clouds
258,Maneadero,MX,31.7167,-116.5667,58.19,48,18,5.93,few clouds
259,Sorong,ID,-0.8833,131.25,83.17,74,42,6.13,scattered clouds
260,Omboue,GA,-1.5746,9.2618,76.48,93,100,5.7,overcast clouds
261,Fairbanks,US,64.8378,-147.7164,-0.44,60,100,9.22,overcast clouds
262,Safford,US,32.834,-109.7076,55.11,46,0,6.91,clear sky
263,Yenagoa,NG,4.9247,6.2642,76.6,89,47,2.95,scattered clouds
264,Kavieng,PG,-2.5744,150.7967,84.31,69,100,8.84,overcast clouds
265,Dongsheng,CN,39.8161,109.9776,19.38,26,0,15.79,clear sky
266,Trebisov,SK,48.6286,21.7195,22.33,86,100,8.99,overcast clouds
267,Muros,ES,42.7762,-9.0603,57.09,96,100,5.28,overcast clouds
268,Hajdudorog,HU,47.8167,21.5,21.87,96,99,5.46,overcast clouds
269,Beira,MZ,-19.8436,34.8389,75.29,94,40,5.75,scattered clouds
